index,category,A,B,answer
0,above,yellow cube,black cube,above
1,above,blue cube,cyan cube,above
2,above,yellow sphere,blue sphere,above
3,above,magenta cube,magenta sphere,above
4,above,blue sphere,green cube,above
5,above,cyan sphere,blue cube,above
6,above,cyan sphere,red cube,above
7,above,blue cube,green cube,above
8,above,blue cube,cyan cube,above
9,above,cyan sphere,magenta sphere,above
10,above,red sphere,magenta sphere,above
11,above,black cube,green cube,above
12,above,red cube,green sphere,above
13,above,red cube,yellow sphere,above
14,above,yellow sphere,magenta cube,above
15,above,blue cube,yellow cube,above
16,above,blue sphere,red cube,above
17,above,red cube,cyan sphere,above
18,above,cyan sphere,cyan cube,above
19,above,blue sphere,cyan sphere,above
20,above,black cube,green sphere,above
21,above,black cube,green cube,above
22,above,blue sphere,cyan sphere,above
23,above,blue cube,cyan sphere,above
24,above,magenta cube,yellow cube,above
25,above,blue sphere,green sphere,above
26,above,yellow cube,green cube,above
27,above,magenta sphere,black sphere,above
28,above,red sphere,red cube,above
29,above,cyan sphere,yellow cube,above
30,above,cyan sphere,black sphere,above
31,above,red cube,cyan sphere,above
32,above,yellow sphere,red cube,above
33,above,cyan sphere,blue cube,above
34,above,yellow cube,cyan sphere,above
35,above,red sphere,green cube,above
36,above,black cube,red sphere,above
37,above,yellow sphere,cyan cube,above
38,above,green cube,magenta cube,above
39,above,magenta sphere,green sphere,above
40,above,blue sphere,cyan cube,above
41,above,cyan cube,magenta sphere,above
42,above,black sphere,magenta cube,above
43,above,blue cube,magenta sphere,above
44,above,red sphere,red cube,above
45,above,blue sphere,black sphere,above
46,above,black sphere,magenta sphere,above
47,above,cyan sphere,red sphere,above
48,above,yellow sphere,blue sphere,above
49,above,magenta cube,black cube,above
50,above,green cube,blue sphere,above
51,above,black sphere,yellow cube,above
52,above,green cube,red sphere,above
53,above,yellow cube,green cube,above
54,above,red sphere,blue cube,above
55,above,magenta cube,cyan sphere,above
56,above,green sphere,magenta cube,above
57,above,red cube,black sphere,above
58,above,blue cube,yellow sphere,above
59,above,blue cube,cyan cube,above
60,above,magenta cube,black sphere,above
61,above,black cube,red cube,above
62,above,green sphere,yellow cube,above
63,above,green sphere,cyan cube,above
64,above,cyan cube,blue cube,above
65,above,yellow sphere,cyan sphere,above
66,above,yellow cube,cyan sphere,above
67,above,magenta cube,magenta sphere,above
68,above,green cube,green sphere,above
69,above,magenta sphere,magenta cube,above
70,above,cyan cube,black cube,above
71,above,blue sphere,magenta cube,above
72,above,cyan sphere,green cube,above
73,above,black sphere,red sphere,above
74,above,blue cube,cyan cube,above
75,above,cyan sphere,magenta sphere,above
76,above,green cube,blue sphere,above
77,above,blue cube,cyan cube,above
78,above,magenta sphere,black sphere,above
79,above,blue cube,black cube,above
80,above,blue sphere,blue cube,above
81,above,magenta cube,cyan sphere,above
82,above,magenta cube,blue cube,above
83,above,black sphere,green cube,above
84,above,yellow sphere,blue sphere,above
85,above,red sphere,yellow cube,above
86,above,yellow cube,red sphere,above
87,above,black cube,yellow sphere,above
88,above,magenta sphere,red sphere,above
89,above,black cube,green sphere,above
90,above,blue sphere,cyan cube,above
91,above,red sphere,yellow cube,above
92,above,black sphere,green sphere,above
93,above,cyan cube,cyan sphere,above
94,above,yellow sphere,blue cube,above
95,above,green sphere,magenta cube,above
96,above,magenta sphere,magenta cube,above
97,above,green cube,cyan sphere,above
98,above,blue sphere,magenta sphere,above
99,above,cyan cube,yellow cube,above
100,above,red cube,blue sphere,above
101,above,red sphere,red cube,above
102,above,green cube,black cube,above
103,above,cyan sphere,blue sphere,above
104,above,blue sphere,black sphere,above
105,above,yellow sphere,black cube,above
106,above,magenta cube,red cube,above
107,above,black cube,blue sphere,above
108,above,green sphere,red cube,above
109,above,black cube,blue cube,above
110,above,red cube,black sphere,above
111,above,black cube,yellow cube,above
112,above,magenta sphere,green cube,above
113,above,green cube,magenta cube,above
114,above,green sphere,magenta sphere,above
115,above,red sphere,cyan sphere,above
116,above,magenta cube,cyan cube,above
117,above,blue sphere,green cube,above
118,above,blue sphere,magenta cube,above
119,above,red cube,black sphere,above
120,above,yellow cube,green sphere,above
121,above,black cube,magenta sphere,above
122,above,black cube,black sphere,above
123,above,black cube,magenta cube,above
124,above,blue sphere,green sphere,above
125,above,yellow cube,green sphere,above
126,above,magenta cube,magenta sphere,above
127,above,green sphere,red cube,above
128,above,black cube,magenta cube,above
